Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N
C,Ship,2.0,2,135,3.0,high,,1339.0,1
F,Flight,5.0,3,225,5.0,high,6.0,1082.0,0
F,Ship,3.0,1,229,3.0,high,,4971.0,1
F,Ship,3.0,2,228,,medium,2.0,5640.0,0
D,Flight,,1,195,6.0,low,,4944.0,1
B,Ship,4.0,5,171,3.0,high,,1683.0,1
A,Ship,6.0,3,282,4.0,high,9.0,1417.0,1
F,Flight,5.0,2,161,3.0,high,,5804.0,1
F,Ship,,1,274,4.0,high,3.0,5979.0,0
C,Ship,5.0,4,222,3.0,high,,5555.0,0
B,Ship,5.0,4,264,10.0,medium,34.0,2960.0,1
F,Ship,4.0,1,196,,high,3.0,5496.0,0
F,Ship,4.0,2,232,,low,,2835.0,1
C,Road,3.0,4,232,5.0,medium,,5653.0,1
F,Ship,,3,194,3.0,high,,4331.0,0
B,?,5.0,5,161,3.0,low,7.0,5338.0,1
B,Flight,5.0,1,207,,high,,4112.0,0
B,Ship,,1,228,2.0,high,2.0,5435.0,0
A,Flight,5.0,2,146,3.0,high,7.0,4524.0,1
C,Flight,3.0,4,221,3.0,high,1.0,4518.0,1
C,Ship,5.0,5,134,2.0,medium,53.0,1088.0,1
C,Flight,,3,254,2.0,high,,5546.0,0
F,Ship,3.0,5,160,,high,,4106.0,0
C,?,4.0,2,273,2.0,high,,2229.0,1
A,Flight,4.0,3,142,2.0,high,,5502.0,1
A,Ship,4.0,4,224,2.0,high,8.0,5754.0,1
F,Ship,3.0,3,253,5.0,high,63.0,3788.0,1
F,Road,4.0,3,209,3.0,medium,,4104.0,1
F,Ship,,5,196,3.0,medium,,3722.0,1
F,Ship,6.0,5,135,5.0,high,,1078.0,1
D,Road,,4,196,2.0,high,6.0,2718.0,1
F,Ship,6.0,2,247,4.0,high,,1556.0,0
F,Road,,2,239,5.0,?,6.0,1310.0,1
D,Ship,6.0,1,254,4.0,high,,1071.0,0
B,Road,3.0,5,195,,high,4.0,4864.0,0
D,Ship,5.0,4,273,3.0,medium,,5672.0,1
F,Road,6.0,2,215,5.0,high,,4057.0,0
D,Flight,4.0,2,177,,high,,1233.0,1
A,Ship,3.0,3,189,3.0,medium,,5896.0,1
A,Ship,,1,215,4.0,high,,3905.0,1
B,Ship,5.0,2,160,4.0,medium,43.0,1479.0,1
C,Flight,,1,139,3.0,?,,5632.0,0
F,Ship,,2,184,,high,63.0,3609.0,1
C,Flight,,1,121,5.0,high,60.0,1577.0,1
F,Ship,5.0,4,133,3.0,high,9.0,1051.0,1
D,Flight,,1,158,3.0,medium,51.0,1540.0,1
B,Ship,6.0,2,286,4.0,high,4.0,1594.0,0
D,Ship,,2,281,4.0,low,5.0,,1
A,Ship,7.0,2,261,4.0,medium,9.0,1918.0,1
F,Ship,3.0,4,214,,high,10.0,4794.0,0
F,Road,3.0,5,158,3.0,high,10.0,4861.0,0
C,Ship,3.0,2,180,,medium,55.0,1165.0,1
C,Ship,4.0,3,169,2.0,high,2.0,1399.0,1
D,Ship,5.0,3,225,7.0,medium,17.0,3516.0,1
F,Ship,6.0,4,280,4.0,high,,1831.0,1
A,Ship,4.0,2,166,3.0,high,62.0,1944.0,1
F,Road,,5,172,3.0,medium,1.0,5024.0,1
B,Ship,,5,280,3.0,high,9.0,4074.0,1
B,Road,5.0,4,212,2.0,high,,4925.0,0
A,Road,4.0,3,246,6.0,high,10.0,1176.0,0
D,?,6.0,1,246,3.0,medium,7.0,4733.0,1
A,Ship,4.0,2,154,2.0,medium,,4705.0,1
B,Ship,3.0,2,203,3.0,low,,2791.0,1
B,Ship,,4,296,4.0,high,,1717.0,1
D,Ship,4.0,3,185,3.0,medium,,3131.0,1
D,Ship,4.0,1,249,6.0,medium,,,1
D,Road,5.0,4,269,,medium,15.0,2522.0,1
A,?,3.0,2,213,6.0,medium,,,1
C,Ship,,3,263,4.0,medium,23.0,2960.0,1
A,Road,,1,142,4.0,medium,2.0,4735.0,1
F,Ship,,2,134,3.0,high,38.0,1352.0,1
C,Ship,,4,267,3.0,?,,5254.0,0
D,Ship,3.0,2,164,2.0,medium,,4442.0,1
F,Ship,3.0,3,178,2.0,medium,,1778.0,1
F,Ship,3.0,1,166,3.0,medium,9.0,4410.0,0
F,Ship,3.0,5,222,2.0,high,9.0,1321.0,0
C,Ship,3.0,1,268,3.0,high,,2479.0,1
F,Flight,4.0,5,232,3.0,?,32.0,3253.0,1
D,Road,6.0,5,278,4.0,medium,,1140.0,0
F,Ship,3.0,1,141,2.0,high,,1297.0,1
F,Ship,5.0,5,140,8.0,medium,,4793.0,1
A,?,4.0,1,241,4.0,medium,5.0,5080.0,0
A,Ship,,1,105,6.0,medium,62.0,,1
F,Flight,4.0,3,197,5.0,high,,4209.0,1
F,Road,4.0,1,160,,medium,1.0,5741.0,1
B,Ship,3.0,5,193,3.0,medium,,5817.0,0
D,Ship,,4,231,3.0,medium,39.0,3792.0,1
F,Ship,3.0,4,195,,medium,,4031.0,0
F,Ship,5.0,1,237,4.0,high,,2605.0,1
F,Ship,7.0,2,305,4.0,medium,7.0,1813.0,0
C,Ship,,2,189,6.0,high,,,0
C,Ship,5.0,3,210,6.0,high,,4203.0,1
C,Ship,4.0,4,140,8.0,medium,2.0,5481.0,0
C,Ship,4.0,5,221,10.0,low,,4646.0,0
D,Ship,6.0,4,138,3.0,medium,,4225.0,0
B,Ship,2.0,3,226,3.0,medium,8.0,5106.0,1
F,Road,6.0,1,253,,high,,1962.0,0
B,?,,3,151,3.0,medium,,4025.0,1
D,Ship,7.0,4,309,4.0,high,,1880.0,0
F,Ship,4.0,4,255,2.0,medium,29.0,2267.0,1
F,Ship,3.0,5,152,4.0,medium,,4809.0,0
F,Ship,3.0,4,186,2.0,medium,9.0,5841.0,0
F,Ship,3.0,5,224,2.0,high,,3891.0,1
C,Ship,,5,136,2.0,medium,4.0,5512.0,0
D,Road,3.0,1,224,,high,45.0,3624.0,1
B,?,3.0,1,244,3.0,medium,1.0,5695.0,1
F,Ship,5.0,1,252,3.0,medium,2.0,4339.0,0
C,Road,5.0,2,222,3.0,medium,10.0,5644.0,1
D,?,3.0,2,111,2.0,high,4.0,4245.0,1
D,Flight,5.0,1,189,3.0,medium,14.0,,1
A,Ship,5.0,2,248,8.0,high,10.0,4583.0,0
C,Ship,3.0,2,214,4.0,medium,,1322.0,1
D,Road,3.0,4,202,5.0,low,,4632.0,0
A,Road,6.0,3,241,6.0,low,8.0,3878.0,1
F,Ship,,1,152,3.0,low,,1464.0,1
B,Ship,5.0,4,231,6.0,medium,3.0,1075.0,0
F,Ship,4.0,5,174,2.0,high,10.0,5764.0,0
A,Ship,5.0,2,146,3.0,high,,4725.0,0
D,Road,5.0,3,222,6.0,high,,1656.0,0
F,Road,5.0,5,272,2.0,high,4.0,5342.0,0
D,Ship,3.0,2,182,2.0,high,,4391.0,1
F,Flight,,4,181,3.0,high,10.0,5276.0,1
C,Ship,2.0,2,173,,medium,,1575.0,1
F,Ship,,5,242,2.0,medium,,4806.0,1
A,Ship,,2,294,4.0,high,,1265.0,1
F,Ship,,5,139,4.0,medium,,1265.0,1
F,Ship,3.0,3,198,2.0,high,,4996.0,1
F,Flight,,2,203,,high,,5296.0,1
C,Ship,4.0,1,269,3.0,high,7.0,5211.0,1
A,Ship,6.0,2,269,4.0,medium,3.0,1665.0,0
B,Ship,5.0,1,232,3.0,high,10.0,1014.0,1
D,Flight,5.0,1,255,4.0,medium,9.0,,1
C,Flight,,1,161,2.0,low,,,1
C,Ship,,5,141,2.0,high,1.0,4395.0,1
D,Ship,3.0,3,208,5.0,high,,4258.0,0
F,Ship,7.0,1,301,4.0,high,6.0,1052.0,1
D,Ship,,3,197,2.0,high,,3400.0,1
A,Ship,,3,178,3.0,medium,,4451.0,1
B,Road,5.0,3,270,5.0,medium,9.0,1764.0,1
F,Flight,5.0,2,130,4.0,medium,1.0,1877.0,0
D,?,3.0,5,286,6.0,low,8.0,4777.0,0
D,Ship,,3,269,2.0,medium,,4158.0,0
A,Ship,3.0,4,254,3.0,medium,6.0,5716.0,0
C,Ship,,4,259,2.0,medium,,2132.0,1
F,Ship,4.0,5,160,3.0,medium,,,1
D,Road,5.0,2,236,,high,,3679.0,1
C,Ship,3.0,3,250,5.0,medium,,,1
F,Ship,2.0,4,226,3.0,high,,4098.0,1
F,Ship,3.0,2,197,4.0,medium,1.0,5210.0,1
B,Ship,5.0,2,223,,?,,1232.0,1
A,Ship,3.0,4,242,10.0,low,5.0,4127.0,0
F,Ship,,4,189,3.0,low,,5464.0,0
F,Ship,3.0,3,183,3.0,high,,,0
C,Flight,3.0,1,185,,medium,,4316.0,0
D,Ship,,5,169,4.0,high,,4213.0,0
C,?,3.0,2,208,4.0,medium,52.0,2900.0,1
A,Road,,5,148,8.0,medium,,5700.0,0
D,Ship,4.0,1,161,2.0,low,41.0,1992.0,1
F,Ship,4.0,2,236,3.0,high,4.0,,0
B,Road,4.0,1,158,3.0,high,32.0,1061.0,1
B,Ship,3.0,5,243,3.0,medium,4.0,3189.0,1
C,Flight,4.0,3,262,4.0,low,2.0,4783.0,1
D,?,3.0,2,201,4.0,medium,10.0,5565.0,0
F,Road,4.0,1,207,2.0,high,,3242.0,1
F,Ship,2.0,1,222,2.0,medium,58.0,3626.0,1
F,Ship,2.0,5,148,3.0,low,11.0,1502.0,1
C,Road,,2,268,3.0,medium,1.0,4927.0,0
B,Flight,4.0,4,229,2.0,medium,45.0,3776.0,1
B,Flight,4.0,2,199,3.0,high,23.0,2994.0,1
F,Road,4.0,4,164,4.0,medium,1.0,4365.0,1
F,Ship,5.0,5,226,3.0,high,50.0,2348.0,1
C,Ship,,2,156,3.0,high,1.0,5361.0,0
C,Ship,5.0,5,254,5.0,high,2.0,4426.0,0
F,Road,3.0,2,145,2.0,high,,4409.0,0
A,?,4.0,5,150,,high,5.0,4512.0,0
F,Ship,5.0,5,132,,high,,4339.0,1
F,Flight,5.0,1,137,,high,,4584.0,0
F,Ship,3.0,2,199,3.0,medium,,5768.0,1
B,Road,2.0,2,148,3.0,low,35.0,1349.0,1
F,Road,7.0,1,276,4.0,high,8.0,1560.0,1
F,Ship,,1,146,3.0,medium,,1714.0,1
A,Road,3.0,1,139,3.0,high,4.0,4666.0,0
C,Road,6.0,2,286,4.0,high,,,1
F,Ship,4.0,3,254,4.0,high,,4492.0,0
A,Ship,4.0,1,256,4.0,medium,,5324.0,0
B,Ship,,1,138,2.0,high,28.0,1528.0,1
B,Ship,3.0,5,262,2.0,?,,3275.0,1
B,Ship,3.0,3,148,2.0,high,,1950.0,1
A,?,6.0,5,290,,medium,,1867.0,1
F,Ship,4.0,3,200,,medium,,5108.0,0
D,?,4.0,3,258,,high,,,0
D,Ship,4.0,3,170,2.0,high,3.0,4587.0,1
F,Ship,3.0,3,152,2.0,high,32.0,1665.0,1
B,Ship,4.0,5,227,5.0,high,,1804.0,1
D,Ship,,3,174,3.0,high,,1502.0,1
D,Ship,3.0,3,239,6.0,high,7.0,4501.0,1
D,Ship,3.0,5,197,3.0,medium,2.0,4018.0,1
B,Ship,6.0,5,301,4.0,high,,1707.0,1
F,Ship,3.0,3,240,3.0,high,4.0,5056.0,1
B,Ship,5.0,4,258,,high,8.0,4200.0,0
B,Flight,2.0,5,157,6.0,low,17.0,1764.0,1
A,Ship,3.0,5,222,4.0,medium,9.0,4247.0,0
D,Ship,2.0,2,237,5.0,high,6.0,4622.0,1
A,Ship,3.0,1,165,3.0,high,1.0,1417.0,1
F,Road,4.0,5,252,2.0,low,,4147.0,1
B,?,,2,242,,medium,6.0,4694.0,0
F,?,,3,133,2.0,high,,4195.0,0
D,Flight,,1,184,2.0,high,31.0,3191.0,1
B,Ship,,3,202,3.0,medium,35.0,3986.0,1
F,Ship,,5,156,2.0,medium,8.0,5848.0,0
B,Ship,,1,242,3.0,medium,,3606.0,1
D,Road,5.0,2,225,,medium,29.0,2411.0,1
C,Ship,4.0,5,270,2.0,high,,2821.0,1
D,Road,4.0,5,180,3.0,medium,,5088.0,0
F,?,4.0,3,253,5.0,high,,1366.0,1
F,Flight,3.0,3,161,3.0,high,24.0,1920.0,1
C,Ship,3.0,4,175,2.0,medium,,,1
B,Road,3.0,2,170,2.0,high,2.0,4214.0,1
B,Ship,,4,226,6.0,high,,1327.0,0
C,Ship,,3,262,4.0,high,1.0,1384.0,1
A,Ship,5.0,5,134,2.0,medium,,1785.0,1
D,Road,2.0,1,154,3.0,medium,4.0,5100.0,0
A,Road,,2,233,7.0,medium,5.0,5361.0,0
C,Ship,2.0,5,181,5.0,medium,5.0,1043.0,0
A,Ship,,2,228,3.0,medium,4.0,4208.0,0
C,Flight,6.0,1,215,4.0,high,1.0,4581.0,1
F,Ship,3.0,4,148,5.0,medium,,1540.0,1
F,?,4.0,2,161,3.0,high,8.0,4382.0,0
F,Flight,3.0,5,173,2.0,high,14.0,1638.0,1
D,Ship,4.0,3,223,3.0,medium,9.0,5897.0,0
C,Ship,3.0,2,225,3.0,high,,5529.0,0
B,Ship,3.0,2,166,2.0,medium,6.0,4765.0,0
C,Ship,3.0,3,200,3.0,high,4.0,3791.0,1
C,Flight,,5,255,4.0,high,,2093.0,1
C,Road,6.0,1,246,4.0,medium,,1504.0,1
F,Ship,4.0,2,184,,medium,10.0,5959.0,0
F,Ship,4.0,5,246,6.0,high,64.0,2271.0,1
F,Ship,5.0,1,258,,medium,,3713.0,1
D,Ship,,4,263,2.0,low,8.0,4914.0,0
A,Flight,,5,289,4.0,high,,1385.0,0
A,Ship,4.0,5,247,5.0,high,9.0,1499.0,0
D,Road,4.0,4,209,3.0,medium,52.0,2740.0,1
F,Road,3.0,5,170,3.0,high,,5064.0,0
B,Road,3.0,4,172,10.0,low,,4883.0,0
D,Ship,,3,191,3.0,low,45.0,3714.0,1
B,Ship,3.0,3,148,5.0,medium,61.0,1452.0,1
D,Ship,,4,177,2.0,high,,5618.0,1
F,Ship,5.0,3,208,3.0,medium,,3884.0,1
F,Road,5.0,3,277,3.0,medium,1.0,,1
B,Ship,,1,275,3.0,medium,7.0,5382.0,1
A,Ship,4.0,2,137,2.0,medium,2.0,5804.0,1
C,Ship,2.0,5,190,8.0,medium,,2976.0,1
F,?,4.0,4,282,6.0,medium,52.0,3009.0,1
D,Flight,3.0,3,199,3.0,medium,,4006.0,1
C,?,3.0,2,163,3.0,medium,,4323.0,0
F,Ship,5.0,3,243,3.0,medium,,4524.0,1
C,Ship,5.0,2,266,10.0,low,9.0,4784.0,1
D,Ship,3.0,4,190,7.0,medium,51.0,2391.0,1
F,Ship,,1,206,3.0,medium,28.0,,1
F,Ship,4.0,3,254,5.0,high,,1248.0,0
F,Ship,,1,217,3.0,medium,,2692.0,1
D,Ship,3.0,4,140,2.0,medium,48.0,1102.0,1
C,Ship,3.0,1,220,,medium,6.0,5319.0,0
A,Flight,4.0,5,154,3.0,medium,9.0,5208.0,0
A,Ship,4.0,5,145,,high,2.0,4686.0,1
D,Ship,4.0,1,252,3.0,medium,,2669.0,1
F,Ship,4.0,2,223,3.0,low,,4282.0,0
F,Flight,3.0,2,219,,high,6.0,4314.0,1
D,Flight,4.0,2,136,3.0,high,65.0,1962.0,1
D,Road,3.0,3,218,2.0,medium,,2069.0,1
A,Ship,5.0,2,246,5.0,high,,1072.0,1
F,Road,5.0,1,217,2.0,high,9.0,4345.0,0
B,Ship,4.0,3,198,7.0,medium,,5315.0,0
