Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Discount_offered,Weight_in_gms,Warehouse_block_A,Warehouse_block_B,Warehouse_block_C,Warehouse_block_D,Warehouse_block_F,Mode_of_Shipment_Flight,Mode_of_Shipment_Road,Mode_of_Shipment_Ship,Product_importance_high,Product_importance_low,Product_importance_medium
3.0,1,274,0.0,10,4352,0,0,0,0,1,0,0,1,1,0,0
3.0,4,136,2.0,10,1056,0,0,0,0,1,1,0,0,0,0,1
0.0,5,140,3.0,7,5383,1,0,0,0,0,0,0,1,0,1,0
0.0,1,291,4.0,10,1880,0,0,1,0,0,0,0,1,0,1,0
4.0,2,147,3.0,5,5174,0,0,0,0,1,1,0,0,0,1,0
0.0,1,221,0.0,64,3951,0,0,0,1,0,0,0,1,0,1,0
0.0,4,253,3.0,4,5236,0,0,0,0,1,0,0,1,0,0,1
6.0,3,244,4.0,10,1317,0,0,0,1,0,1,0,0,0,1,0
0.0,5,150,2.0,29,1934,0,0,0,0,1,0,0,1,0,1,0
4.0,2,175,3.0,10,1005,0,0,1,0,0,0,0,1,0,0,1
0.0,3,235,6.0,10,4689,0,1,0,0,0,0,0,1,0,0,1
3.0,4,257,4.0,10,4415,0,0,0,0,1,0,0,1,0,1,0
4.0,2,204,2.0,10,4533,0,0,0,1,0,0,0,1,0,1,0
3.0,4,211,3.0,10,3710,0,1,0,0,0,0,1,0,0,0,1
7.0,1,258,0.0,10,1482,0,1,0,0,0,0,0,1,0,1,0
2.0,1,210,2.0,10,5250,0,0,1,0,0,0,0,1,0,0,1
4.0,3,226,6.0,10,1174,0,0,0,0,1,1,0,0,0,0,1
6.0,3,290,4.0,5,1784,0,0,0,0,1,0,0,1,0,1,0
0.0,4,148,0.0,10,4892,1,0,0,0,0,1,0,0,0,0,1
6.0,4,225,4.0,10,4723,0,0,0,1,0,1,0,0,0,0,1
3.0,5,206,4.0,10,4321,0,0,0,0,1,0,0,1,0,0,1
4.0,5,205,4.0,10,5264,0,0,1,0,0,1,0,0,0,0,1
5.0,4,199,4.0,10,3443,0,0,1,0,0,0,0,1,0,1,0
7.0,3,247,4.0,5,1060,0,0,0,0,1,0,0,1,0,0,1
0.0,3,199,2.0,10,3951,0,0,0,0,1,1,0,0,0,1,0
4.0,3,140,8.0,8,4065,0,0,0,0,1,0,0,1,0,0,1
5.0,4,266,6.0,7,4486,0,0,0,0,1,0,0,1,0,0,1
4.0,3,150,2.0,31,1588,0,0,0,0,1,0,1,0,0,0,1
4.0,3,257,3.0,10,5843,0,0,0,0,1,0,0,1,0,1,0
5.0,4,226,5.0,10,1518,1,0,0,0,0,0,0,1,0,0,1
5.0,2,133,0.0,53,1674,0,0,0,0,1,0,1,0,0,0,1
4.0,5,244,3.0,10,3951,0,0,0,1,0,0,0,1,0,1,0
0.0,5,251,0.0,5,5178,0,0,0,1,0,0,1,0,0,0,1
