Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N,Warehouse_block_A,Warehouse_block_B,Warehouse_block_C,Warehouse_block_D,Warehouse_block_F,Mode_of_Shipment_Flight,Mode_of_Shipment_Road,Mode_of_Shipment_Ship,Product_importance_high,Product_importance_low,Product_importance_medium
2.0,2,135,3.0,18,1339,1,0,0,1,0,0,0,0,1,0,1,0
5.0,3,225,5.0,6,1082,0,0,0,0,0,1,1,0,0,0,1,0
3.0,1,229,3.0,18,4971,1,0,0,0,0,1,0,0,1,0,1,0
3.0,2,228,3.6913377617212664,2,5640,0,0,0,0,0,1,0,0,1,0,0,1
3.9906742699283977,1,195,6.0,18,4944,1,0,0,0,1,0,1,0,0,1,0,0
4.0,5,171,3.0,18,1683,1,0,1,0,0,0,0,0,1,0,1,0
6.0,3,282,4.0,9,1417,1,1,0,0,0,0,0,0,1,0,1,0
5.0,2,161,3.0,18,5804,1,0,0,0,0,1,1,0,0,0,1,0
4.1501317469461885,1,274,4.0,3,5979,0,0,0,0,0,1,0,0,1,0,1,0
5.0,4,222,3.0,5,5555,0,0,0,1,0,0,0,0,1,0,1,0
5.0,4,264,10.0,34,2960,1,0,1,0,0,0,0,0,1,0,0,1
4.0,1,196,3.6913377617212664,3,5496,0,0,0,0,0,1,0,0,1,0,1,0
4.0,2,232,3.4945174595496593,18,2835,1,0,0,0,0,1,0,0,1,1,0,0
3.0,4,232,5.0,18,5653,1,0,0,1,0,0,0,1,0,0,0,1
4.1501317469461885,3,194,3.0,5,4331,0,0,0,0,0,1,0,0,1,0,1,0
5.0,5,161,3.0,7,5338,1,0,1,0,0,0,0,0,1,1,0,0
5.0,1,207,3.6913377617212664,5,4112,0,0,1,0,0,0,1,0,0,0,1,0
4.1501317469461885,1,228,2.0,2,5435,0,0,1,0,0,0,0,0,1,0,1,0
5.0,2,146,3.0,7,4524,1,1,0,0,0,0,1,0,0,0,1,0
3.0,4,221,3.0,1,4518,1,0,0,1,0,0,1,0,0,0,1,0
5.0,5,134,2.0,53,1088,1,0,0,1,0,0,0,0,1,0,0,1
4.1501317469461885,3,254,2.0,5,5546,0,0,0,1,0,0,1,0,0,0,1,0
3.0,5,160,3.6913377617212664,5,4106,0,0,0,0,0,1,0,0,1,0,1,0
4.0,2,273,2.0,18,2229,1,0,0,1,0,0,0,0,1,0,1,0
4.0,3,142,2.0,18,5502,1,1,0,0,0,0,1,0,0,0,1,0
4.0,4,224,2.0,8,5754,1,1,0,0,0,0,0,0,1,0,1,0
3.0,3,253,5.0,63,3788,1,0,0,0,0,1,0,0,1,0,1,0
4.0,3,209,3.0,18,4104,1,0,0,0,0,1,0,1,0,0,0,1
3.9906742699283977,5,196,3.0,18,3722,1,0,0,0,0,1,0,0,1,0,0,1
6.0,5,135,5.0,18,1078,1,0,0,0,0,1,0,0,1,0,1,0
3.9906742699283977,4,196,2.0,6,2718,1,0,0,0,1,0,0,1,0,0,1,0
6.0,2,247,4.0,5,1556,0,0,0,0,0,1,0,0,1,0,1,0
3.9906742699283977,2,239,5.0,6,1310,1,0,0,0,0,1,0,1,0,0,0,1
6.0,1,254,4.0,5,1071,0,0,0,0,1,0,0,0,1,0,1,0
3.0,5,195,3.6913377617212664,4,4864,0,0,1,0,0,0,0,1,0,0,1,0
5.0,4,273,3.0,18,5672,1,0,0,0,1,0,0,0,1,0,0,1
6.0,2,215,5.0,5,4057,0,0,0,0,0,1,0,1,0,0,1,0
4.0,2,177,3.4945174595496593,18,1233,1,0,0,0,1,0,1,0,0,0,1,0
3.0,3,189,3.0,18,5896,1,1,0,0,0,0,0,0,1,0,0,1
3.9906742699283977,1,215,4.0,18,3905,1,1,0,0,0,0,0,0,1,0,1,0
5.0,2,160,4.0,43,1479,1,0,1,0,0,0,0,0,1,0,0,1
4.1501317469461885,1,139,3.0,5,5632,0,0,0,1,0,0,1,0,0,0,0,1
3.9906742699283977,2,184,3.4945174595496593,63,3609,1,0,0,0,0,1,0,0,1,0,1,0
3.9906742699283977,1,121,5.0,60,1577,1,0,0,1,0,0,1,0,0,0,1,0
5.0,4,133,3.0,9,1051,1,0,0,0,0,1,0,0,1,0,1,0
3.9906742699283977,1,158,3.0,51,1540,1,0,0,0,1,0,1,0,0,0,0,1
6.0,2,286,4.0,4,1594,0,0,1,0,0,0,0,0,1,0,1,0
3.9906742699283977,2,281,4.0,5,5913,1,0,0,0,1,0,0,0,1,1,0,0
7.0,2,261,4.0,9,1918,1,1,0,0,0,0,0,0,1,0,0,1
3.0,4,214,3.6913377617212664,10,4794,0,0,0,0,0,1,0,0,1,0,1,0
3.0,5,158,3.0,10,4861,0,0,0,0,0,1,0,1,0,0,1,0
3.0,2,180,3.4945174595496593,55,1165,1,0,0,1,0,0,0,0,1,0,0,1
4.0,3,169,2.0,2,1399,1,0,0,1,0,0,0,0,1,0,1,0
5.0,3,225,7.0,17,3516,1,0,0,0,1,0,0,0,1,0,0,1
6.0,4,280,4.0,18,1831,1,0,0,0,0,1,0,0,1,0,1,0
4.0,2,166,3.0,62,1944,1,1,0,0,0,0,0,0,1,0,1,0
3.9906742699283977,5,172,3.0,1,5024,1,0,0,0,0,1,0,1,0,0,0,1
3.9906742699283977,5,280,3.0,9,4074,1,0,1,0,0,0,0,0,1,0,1,0
5.0,4,212,2.0,5,4925,0,0,1,0,0,0,0,1,0,0,1,0
4.0,3,246,6.0,10,1176,0,1,0,0,0,0,0,1,0,0,1,0
6.0,1,246,3.0,7,4733,1,0,0,0,1,0,0,0,1,0,0,1
4.0,2,154,2.0,18,4705,1,1,0,0,0,0,0,0,1,0,0,1
3.0,2,203,3.0,18,2791,1,0,1,0,0,0,0,0,1,1,0,0
3.9906742699283977,4,296,4.0,18,1717,1,0,1,0,0,0,0,0,1,0,1,0
4.0,3,185,3.0,18,3131,1,0,0,0,1,0,0,0,1,0,0,1
4.0,1,249,6.0,18,5913,1,0,0,0,1,0,0,0,1,0,0,1
5.0,4,269,3.4945174595496593,15,2522,1,0,0,0,1,0,0,1,0,0,0,1
3.0,2,213,6.0,18,5913,1,1,0,0,0,0,0,0,1,0,0,1
3.9906742699283977,3,263,4.0,23,2960,1,0,0,1,0,0,0,0,1,0,0,1
3.9906742699283977,1,142,4.0,2,4735,1,1,0,0,0,0,0,1,0,0,0,1
3.9906742699283977,2,134,3.0,38,1352,1,0,0,0,0,1,0,0,1,0,1,0
4.1501317469461885,4,267,3.0,5,5254,0,0,0,1,0,0,0,0,1,0,0,1
3.0,2,164,2.0,18,4442,1,0,0,0,1,0,0,0,1,0,0,1
3.0,3,178,2.0,18,1778,1,0,0,0,0,1,0,0,1,0,0,1
3.0,1,166,3.0,9,4410,0,0,0,0,0,1,0,0,1,0,0,1
3.0,5,222,2.0,9,1321,0,0,0,0,0,1,0,0,1,0,1,0
3.0,1,268,3.0,18,2479,1,0,0,1,0,0,0,0,1,0,1,0
4.0,5,232,3.0,32,3253,1,0,0,0,0,1,1,0,0,0,0,1
6.0,5,278,4.0,5,1140,0,0,0,0,1,0,0,1,0,0,0,1
3.0,1,141,2.0,18,1297,1,0,0,0,0,1,0,0,1,0,1,0
5.0,5,140,8.0,18,4793,1,0,0,0,0,1,0,0,1,0,0,1
4.0,1,241,4.0,5,5080,0,1,0,0,0,0,0,0,1,0,0,1
3.9906742699283977,1,105,6.0,62,5913,1,1,0,0,0,0,0,0,1,0,0,1
4.0,3,197,5.0,18,4209,1,0,0,0,0,1,1,0,0,0,1,0
4.0,1,160,3.4945174595496593,1,5741,1,0,0,0,0,1,0,1,0,0,0,1
3.0,5,193,3.0,5,5817,0,0,1,0,0,0,0,0,1,0,0,1
3.9906742699283977,4,231,3.0,39,3792,1,0,0,0,1,0,0,0,1,0,0,1
3.0,4,195,3.6913377617212664,5,4031,0,0,0,0,0,1,0,0,1,0,0,1
5.0,1,237,4.0,18,2605,1,0,0,0,0,1,0,0,1,0,1,0
7.0,2,305,4.0,7,1813,0,0,0,0,0,1,0,0,1,0,0,1
4.1501317469461885,2,189,6.0,5,5913,0,0,0,1,0,0,0,0,1,0,1,0
5.0,3,210,6.0,18,4203,1,0,0,1,0,0,0,0,1,0,1,0
4.0,4,140,8.0,2,5481,0,0,0,1,0,0,0,0,1,0,0,1
4.0,5,221,10.0,5,4646,0,0,0,1,0,0,0,0,1,1,0,0
6.0,4,138,3.0,5,4225,0,0,0,0,1,0,0,0,1,0,0,1
2.0,3,226,3.0,8,5106,1,0,1,0,0,0,0,0,1,0,0,1
6.0,1,253,3.6913377617212664,5,1962,0,0,0,0,0,1,0,1,0,0,1,0
3.9906742699283977,3,151,3.0,18,4025,1,0,1,0,0,0,0,0,1,0,0,1
7.0,4,309,4.0,5,1880,0,0,0,0,1,0,0,0,1,0,1,0
4.0,4,255,2.0,29,2267,1,0,0,0,0,1,0,0,1,0,0,1
3.0,5,152,4.0,5,4809,0,0,0,0,0,1,0,0,1,0,0,1
3.0,4,186,2.0,9,5841,0,0,0,0,0,1,0,0,1,0,0,1
3.0,5,224,2.0,18,3891,1,0,0,0,0,1,0,0,1,0,1,0
4.1501317469461885,5,136,2.0,4,5512,0,0,0,1,0,0,0,0,1,0,0,1
3.0,1,224,3.4945174595496593,45,3624,1,0,0,0,1,0,0,1,0,0,1,0
3.0,1,244,3.0,1,5695,1,0,1,0,0,0,0,0,1,0,0,1
5.0,1,252,3.0,2,4339,0,0,0,0,0,1,0,0,1,0,0,1
5.0,2,222,3.0,10,5644,1,0,0,1,0,0,0,1,0,0,0,1
3.0,2,111,2.0,4,4245,1,0,0,0,1,0,0,0,1,0,1,0
5.0,1,189,3.0,14,5913,1,0,0,0,1,0,1,0,0,0,0,1
5.0,2,248,8.0,10,4583,0,1,0,0,0,0,0,0,1,0,1,0
3.0,2,214,4.0,18,1322,1,0,0,1,0,0,0,0,1,0,0,1
3.0,4,202,5.0,5,4632,0,0,0,0,1,0,0,1,0,1,0,0
6.0,3,241,6.0,8,3878,1,1,0,0,0,0,0,1,0,1,0,0
3.9906742699283977,1,152,3.0,18,1464,1,0,0,0,0,1,0,0,1,1,0,0
5.0,4,231,6.0,3,1075,0,0,1,0,0,0,0,0,1,0,0,1
4.0,5,174,2.0,10,5764,0,0,0,0,0,1,0,0,1,0,1,0
5.0,2,146,3.0,5,4725,0,1,0,0,0,0,0,0,1,0,1,0
5.0,3,222,6.0,5,1656,0,0,0,0,1,0,0,1,0,0,1,0
5.0,5,272,2.0,4,5342,0,0,0,0,0,1,0,1,0,0,1,0
3.0,2,182,2.0,18,4391,1,0,0,0,1,0,0,0,1,0,1,0
3.9906742699283977,4,181,3.0,10,5276,1,0,0,0,0,1,1,0,0,0,1,0
2.0,2,173,3.4945174595496593,18,1575,1,0,0,1,0,0,0,0,1,0,0,1
3.9906742699283977,5,242,2.0,18,4806,1,0,0,0,0,1,0,0,1,0,0,1
3.9906742699283977,2,294,4.0,18,1265,1,1,0,0,0,0,0,0,1,0,1,0
3.9906742699283977,5,139,4.0,18,1265,1,0,0,0,0,1,0,0,1,0,0,1
3.0,3,198,2.0,18,4996,1,0,0,0,0,1,0,0,1,0,1,0
3.9906742699283977,2,203,3.4945174595496593,18,5296,1,0,0,0,0,1,1,0,0,0,1,0
4.0,1,269,3.0,7,5211,1,0,0,1,0,0,0,0,1,0,1,0
6.0,2,269,4.0,3,1665,0,1,0,0,0,0,0,0,1,0,0,1
5.0,1,232,3.0,10,1014,1,0,1,0,0,0,0,0,1,0,1,0
5.0,1,255,4.0,9,5913,1,0,0,0,1,0,1,0,0,0,0,1
3.9906742699283977,1,161,2.0,18,5913,1,0,0,1,0,0,1,0,0,1,0,0
3.9906742699283977,5,141,2.0,1,4395,1,0,0,1,0,0,0,0,1,0,1,0
3.0,3,208,5.0,5,4258,0,0,0,0,1,0,0,0,1,0,1,0
7.0,1,301,4.0,6,1052,1,0,0,0,0,1,0,0,1,0,1,0
3.9906742699283977,3,197,2.0,18,3400,1,0,0,0,1,0,0,0,1,0,1,0
3.9906742699283977,3,178,3.0,18,4451,1,1,0,0,0,0,0,0,1,0,0,1
5.0,3,270,5.0,9,1764,1,0,1,0,0,0,0,1,0,0,0,1
