Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Discount_offered,Reached.on.Time_Y.N,Warehouse_block_A,Warehouse_block_B,Warehouse_block_C,Warehouse_block_D,Warehouse_block_F,Mode_of_Shipment_Flight,Mode_of_Shipment_Road,Mode_of_Shipment_Ship,Product_importance_high,Product_importance_low,Product_importance_medium
2,2,135,3,0,1,0,0,1,0,0,0,0,1,1,0,0
5,3,225,5,6,0,0,0,0,0,1,1,0,0,1,0,0
3,1,229,3,0,1,0,0,0,0,1,0,0,1,1,0,0
3,2,228,0,2,0,0,0,0,0,1,0,0,1,0,0,1
0,1,195,6,0,1,0,0,0,1,0,1,0,0,0,1,0
4,5,171,3,0,1,0,1,0,0,0,0,0,1,1,0,0
6,3,282,4,9,1,1,0,0,0,0,0,0,1,1,0,0
5,2,161,3,0,1,0,0,0,0,1,1,0,0,1,0,0
0,1,274,4,3,0,0,0,0,0,1,0,0,1,1,0,0
5,4,222,3,0,0,0,0,1,0,0,0,0,1,1,0,0
5,4,264,10,34,1,0,1,0,0,0,0,0,1,0,0,1
4,1,196,0,3,0,0,0,0,0,1,0,0,1,1,0,0
4,2,232,0,0,1,0,0,0,0,1,0,0,1,0,1,0
3,4,232,5,0,1,0,0,1,0,0,0,1,0,0,0,1
0,3,194,3,0,0,0,0,0,0,1,0,0,1,1,0,0
5,5,161,3,7,1,0,1,0,0,0,0,0,1,0,1,0
5,1,207,0,0,0,0,1,0,0,0,1,0,0,1,0,0
0,1,228,2,2,0,0,1,0,0,0,0,0,1,1,0,0
5,2,146,3,7,1,1,0,0,0,0,1,0,0,1,0,0
3,4,221,3,1,1,0,0,1,0,0,1,0,0,1,0,0
5,5,134,2,53,1,0,0,1,0,0,0,0,1,0,0,1
0,3,254,2,0,0,0,0,1,0,0,1,0,0,1,0,0
3,5,160,0,0,0,0,0,0,0,1,0,0,1,1,0,0
4,2,273,2,0,1,0,0,1,0,0,0,0,1,1,0,0
4,3,142,2,0,1,1,0,0,0,0,1,0,0,1,0,0
4,4,224,2,8,1,1,0,0,0,0,0,0,1,1,0,0
3,3,253,5,63,1,0,0,0,0,1,0,0,1,1,0,0
4,3,209,3,0,1,0,0,0,0,1,0,1,0,0,0,1
0,5,196,3,0,1,0,0,0,0,1,0,0,1,0,0,1
6,5,135,5,0,1,0,0,0,0,1,0,0,1,1,0,0
0,4,196,2,6,1,0,0,0,1,0,0,1,0,1,0,0
6,2,247,4,0,0,0,0,0,0,1,0,0,1,1,0,0
6,1,254,4,0,0,0,0,0,1,0,0,0,1,1,0,0
3,5,195,0,4,0,0,1,0,0,0,0,1,0,1,0,0
5,4,273,3,0,1,0,0,0,1,0,0,0,1,0,0,1
6,2,215,5,0,0,0,0,0,0,1,0,1,0,1,0,0
4,2,177,0,0,1,0,0,0,1,0,1,0,0,1,0,0
3,3,189,3,0,1,1,0,0,0,0,0,0,1,0,0,1
0,1,215,4,0,1,1,0,0,0,0,0,0,1,1,0,0
5,2,160,4,43,1,0,1,0,0,0,0,0,1,0,0,1
0,2,184,0,63,1,0,0,0,0,1,0,0,1,1,0,0
0,1,121,5,60,1,0,0,1,0,0,1,0,0,1,0,0
5,4,133,3,9,1,0,0,0,0,1,0,0,1,1,0,0
0,1,158,3,51,1,0,0,0,1,0,1,0,0,0,0,1
6,2,286,4,4,0,0,1,0,0,0,0,0,1,1,0,0
7,2,261,4,9,1,1,0,0,0,0,0,0,1,0,0,1
3,4,214,0,10,0,0,0,0,0,1,0,0,1,1,0,0
3,5,158,3,10,0,0,0,0,0,1,0,1,0,1,0,0
3,2,180,0,55,1,0,0,1,0,0,0,0,1,0,0,1
4,3,169,2,2,1,0,0,1,0,0,0,0,1,1,0,0
5,3,225,7,17,1,0,0,0,1,0,0,0,1,0,0,1
6,4,280,4,0,1,0,0,0,0,1,0,0,1,1,0,0
4,2,166,3,62,1,1,0,0,0,0,0,0,1,1,0,0
0,5,172,3,1,1,0,0,0,0,1,0,1,0,0,0,1
0,5,280,3,9,1,0,1,0,0,0,0,0,1,1,0,0
5,4,212,2,0,0,0,1,0,0,0,0,1,0,1,0,0
4,3,246,6,10,0,1,0,0,0,0,0,1,0,1,0,0
6,1,246,3,7,1,0,0,0,1,0,0,0,1,0,0,1
4,2,154,2,0,1,1,0,0,0,0,0,0,1,0,0,1
3,2,203,3,0,1,0,1,0,0,0,0,0,1,0,1,0
0,4,296,4,0,1,0,1,0,0,0,0,0,1,1,0,0
4,3,185,3,0,1,0,0,0,1,0,0,0,1,0,0,1
5,4,269,0,15,1,0,0,0,1,0,0,1,0,0,0,1
0,3,263,4,23,1,0,0,1,0,0,0,0,1,0,0,1
0,1,142,4,2,1,1,0,0,0,0,0,1,0,0,0,1
0,2,134,3,38,1,0,0,0,0,1,0,0,1,1,0,0
3,2,164,2,0,1,0,0,0,1,0,0,0,1,0,0,1
3,3,178,2,0,1,0,0,0,0,1,0,0,1,0,0,1
3,1,166,3,9,0,0,0,0,0,1,0,0,1,0,0,1
3,5,222,2,9,0,0,0,0,0,1,0,0,1,1,0,0
3,1,268,3,0,1,0,0,1,0,0,0,0,1,1,0,0
6,5,278,4,0,0,0,0,0,1,0,0,1,0,0,0,1
3,1,141,2,0,1,0,0,0,0,1,0,0,1,1,0,0
5,5,140,8,0,1,0,0,0,0,1,0,0,1,0,0,1
4,1,241,4,5,0,1,0,0,0,0,0,0,1,0,0,1
4,3,197,5,0,1,0,0,0,0,1,1,0,0,1,0,0
4,1,160,0,1,1,0,0,0,0,1,0,1,0,0,0,1
3,5,193,3,0,0,0,1,0,0,0,0,0,1,0,0,1
0,4,231,3,39,1,0,0,0,1,0,0,0,1,0,0,1
3,4,195,0,0,0,0,0,0,0,1,0,0,1,0,0,1
5,1,237,4,0,1,0,0,0,0,1,0,0,1,1,0,0
7,2,305,4,7,0,0,0,0,0,1,0,0,1,0,0,1
5,3,210,6,0,1,0,0,1,0,0,0,0,1,1,0,0
4,4,140,8,2,0,0,0,1,0,0,0,0,1,0,0,1
4,5,221,10,0,0,0,0,1,0,0,0,0,1,0,1,0
6,4,138,3,0,0,0,0,0,1,0,0,0,1,0,0,1
2,3,226,3,8,1,0,1,0,0,0,0,0,1,0,0,1
6,1,253,0,0,0,0,0,0,0,1,0,1,0,1,0,0
0,3,151,3,0,1,0,1,0,0,0,0,0,1,0,0,1
7,4,309,4,0,0,0,0,0,1,0,0,0,1,1,0,0
