Cost_of_the_Product,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N,Product_importance_low
135,10.0,1339,1,0
225,6.0,1082,0,0
229,10.0,4971,1,0
228,2.0,5640,0,0
195,10.0,4944,1,1
171,10.0,1683,1,0
282,9.0,1417,1,0
161,10.0,5804,1,0
274,3.0,5979,0,0
222,10.0,5555,0,0
264,34.0,2960,1,0
196,3.0,5496,0,0
232,10.0,2835,1,1
232,10.0,5653,1,0
194,10.0,4331,0,0
161,7.0,5338,1,1
207,10.0,4112,0,0
228,2.0,5435,0,0
146,7.0,4524,1,0
221,1.0,4518,1,0
134,53.0,1088,1,0
254,10.0,5546,0,0
160,10.0,4106,0,0
273,10.0,2229,1,0
142,10.0,5502,1,0
224,8.0,5754,1,0
253,63.0,3788,1,0
209,10.0,4104,1,0
196,10.0,3722,1,0
135,10.0,1078,1,0
196,6.0,2718,1,0
247,10.0,1556,0,0
239,6.0,1310,1,0
254,10.0,1071,0,0
195,4.0,4864,0,0
273,10.0,5672,1,0
215,10.0,4057,0,0
177,10.0,1233,1,0
189,10.0,5896,1,0
215,10.0,3905,1,0
160,43.0,1479,1,0
139,10.0,5632,0,0
184,63.0,3609,1,0
121,60.0,1577,1,0
133,9.0,1051,1,0
158,51.0,1540,1,0
286,4.0,1594,0,0
281,5.0,1367,1,1
261,9.0,1918,1,0
214,10.0,4794,0,0
158,10.0,4861,0,0
180,55.0,1165,1,0
169,2.0,1399,1,0
225,17.0,3516,1,0
280,10.0,1831,1,0
166,62.0,1944,1,0
172,1.0,5024,1,0
280,9.0,4074,1,0
212,10.0,4925,0,0
246,10.0,1176,0,0
246,7.0,4733,1,0
154,10.0,4705,1,0
203,10.0,2791,1,1
296,10.0,1717,1,0
185,10.0,3131,1,0
249,10.0,1367,1,0
269,15.0,2522,1,0
213,10.0,1367,1,0
263,23.0,2960,1,0
142,2.0,4735,1,0
134,38.0,1352,1,0
267,10.0,5254,0,0
164,10.0,4442,1,0
178,10.0,1778,1,0
166,9.0,4410,0,0
222,9.0,1321,0,0
268,10.0,2479,1,0
232,32.0,3253,1,0
278,10.0,1140,0,0
141,10.0,1297,1,0
140,10.0,4793,1,0
241,5.0,5080,0,0
105,62.0,1367,1,0
197,10.0,4209,1,0
160,1.0,5741,1,0
193,10.0,5817,0,0
231,39.0,3792,1,0
195,10.0,4031,0,0
237,10.0,2605,1,0
305,7.0,1813,0,0
189,10.0,1367,0,0
210,10.0,4203,1,0
140,2.0,5481,0,0
221,10.0,4646,0,1
138,10.0,4225,0,0
226,8.0,5106,1,0
253,10.0,1962,0,0
151,10.0,4025,1,0
309,10.0,1880,0,0
255,29.0,2267,1,0
152,10.0,4809,0,0
186,9.0,5841,0,0
224,10.0,3891,1,0
136,4.0,5512,0,0
224,45.0,3624,1,0
244,1.0,5695,1,0
252,2.0,4339,0,0
222,10.0,5644,1,0
111,4.0,4245,1,0
189,14.0,1367,1,0
248,10.0,4583,0,0
214,10.0,1322,1,0
202,10.0,4632,0,1
241,8.0,3878,1,1
152,10.0,1464,1,1
231,3.0,1075,0,0
174,10.0,5764,0,0
146,10.0,4725,0,0
222,10.0,1656,0,0
272,4.0,5342,0,0
182,10.0,4391,1,0
181,10.0,5276,1,0
173,10.0,1575,1,0
242,10.0,4806,1,0
294,10.0,1265,1,0
139,10.0,1265,1,0
198,10.0,4996,1,0
203,10.0,5296,1,0
269,7.0,5211,1,0
269,3.0,1665,0,0
232,10.0,1014,1,0
255,9.0,1367,1,0
161,10.0,1367,1,1
141,1.0,4395,1,0
208,10.0,4258,0,0
301,6.0,1052,1,0
197,10.0,3400,1,0
178,10.0,4451,1,0
270,9.0,1764,1,0
130,1.0,1877,0,0
286,8.0,4777,0,1
269,10.0,4158,0,0
254,6.0,5716,0,0
259,10.0,2132,1,0
160,10.0,1367,1,0
236,10.0,3679,1,0
250,10.0,1367,1,0
226,10.0,4098,1,0
197,1.0,5210,1,0
223,10.0,1232,1,0
242,5.0,4127,0,1
189,10.0,5464,0,1
183,10.0,1367,0,0
185,10.0,4316,0,0
169,10.0,4213,0,0
208,52.0,2900,1,0
148,10.0,5700,0,0
161,41.0,1992,1,1
236,4.0,1367,0,0
158,32.0,1061,1,0
243,4.0,3189,1,0
262,2.0,4783,1,1
201,10.0,5565,0,0
207,10.0,3242,1,0
222,58.0,3626,1,0
148,11.0,1502,1,1
268,1.0,4927,0,0
229,45.0,3776,1,0
199,23.0,2994,1,0
164,1.0,4365,1,0
226,50.0,2348,1,0
156,1.0,5361,0,0
254,2.0,4426,0,0
145,10.0,4409,0,0
150,5.0,4512,0,0
132,10.0,4339,1,0
137,10.0,4584,0,0
199,10.0,5768,1,0
148,35.0,1349,1,1
276,8.0,1560,1,0
146,10.0,1714,1,0
139,4.0,4666,0,0
286,10.0,1367,1,0
254,10.0,4492,0,0
256,10.0,5324,0,0
138,28.0,1528,1,0
262,10.0,3275,1,0
148,10.0,1950,1,0
290,10.0,1867,1,0
200,10.0,5108,0,0
258,10.0,1367,0,0
170,3.0,4587,1,0
152,32.0,1665,1,0
227,10.0,1804,1,0
174,10.0,1502,1,0
239,7.0,4501,1,0
197,2.0,4018,1,0
301,10.0,1707,1,0
240,4.0,5056,1,0
258,8.0,4200,0,0
157,17.0,1764,1,1
222,9.0,4247,0,0
237,6.0,4622,1,0
165,1.0,1417,1,0
252,10.0,4147,1,1
242,6.0,4694,0,0
133,10.0,4195,0,0
184,31.0,3191,1,0
202,35.0,3986,1,0
156,8.0,5848,0,0
242,10.0,3606,1,0
225,29.0,2411,1,0
270,10.0,2821,1,0
180,10.0,5088,0,0
253,10.0,1366,1,0
161,24.0,1920,1,0
175,10.0,1367,1,0
170,2.0,4214,1,0
226,10.0,1327,0,0
262,1.0,1384,1,0
134,10.0,1785,1,0
154,4.0,5100,0,0
233,5.0,5361,0,0
181,5.0,1043,0,0
228,4.0,4208,0,0
215,1.0,4581,1,0
148,10.0,1540,1,0
161,8.0,4382,0,0
173,14.0,1638,1,0
223,9.0,5897,0,0
225,10.0,5529,0,0
166,6.0,4765,0,0
200,4.0,3791,1,0
255,10.0,2093,1,0
246,10.0,1504,1,0
184,10.0,5959,0,0
246,64.0,2271,1,0
258,10.0,3713,1,0
263,8.0,4914,0,1
289,10.0,1385,0,0
247,9.0,1499,0,0
209,52.0,2740,1,0
170,10.0,5064,0,0
172,10.0,4883,0,1
191,45.0,3714,1,1
148,61.0,1452,1,0
177,10.0,5618,1,0
208,10.0,3884,1,0
277,1.0,1367,1,0
275,7.0,5382,1,0
137,2.0,5804,1,0
190,10.0,2976,1,0
282,52.0,3009,1,0
199,10.0,4006,1,0
163,10.0,4323,0,0
243,10.0,4524,1,0
266,9.0,4784,1,1
190,51.0,2391,1,0
206,28.0,1367,1,0
254,10.0,1248,0,0
217,10.0,2692,1,0
140,48.0,1102,1,0
220,6.0,5319,0,0
154,9.0,5208,0,0
145,2.0,4686,1,0
252,10.0,2669,1,0
223,10.0,4282,0,1
219,6.0,4314,1,0
136,65.0,1962,1,0
218,10.0,2069,1,0
246,10.0,1072,1,0
217,9.0,4345,0,0
198,10.0,5315,0,0
187,10.0,4316,1,0
157,2.0,5715,1,0
148,10.0,4249,0,1
298,5.0,1804,0,0
197,1.0,4977,0,0
197,40.0,3303,1,0
162,10.0,1901,1,0
274,10.0,4167,1,1
163,10.0,1119,1,0
198,10.0,3025,1,0
270,5.0,1735,0,0
142,10.0,4280,1,1
169,10.0,5957,1,0
182,9.0,5388,0,0
295,10.0,1235,0,0
234,1.0,4455,1,0
255,18.0,3732,1,0
176,14.0,1705,1,0
164,10.0,1949,1,0
245,61.0,2188,1,0
171,34.0,1999,1,0
175,40.0,1460,1,0
238,9.0,4937,0,0
269,10.0,1113,1,0
143,10.0,4253,0,0
189,6.0,5439,1,0
158,10.0,4881,0,0
248,10.0,1093,0,0
186,64.0,2529,1,0
237,10.0,1357,1,0
134,9.0,4230,1,0
265,10.0,4283,1,0
274,10.0,1293,0,0
182,10.0,5510,1,0
121,10.0,4790,0,0
143,6.0,4761,1,0
190,38.0,3022,1,1
274,10.0,2098,1,0
265,6.0,4380,0,0
259,10.0,4315,0,0
112,10.0,5716,1,0
207,1.0,4602,0,0
125,2.0,4182,1,0
128,10.0,1530,1,0
178,6.0,1184,1,0
232,10.0,4345,0,1
102,10.0,4179,0,0
268,10.0,2893,1,1
193,4.0,5964,0,0
132,10.0,5461,0,0
226,11.0,3708,1,0
209,10.0,5713,0,0
97,10.0,4577,0,0
231,10.0,1247,0,0
156,10.0,1836,1,0
184,10.0,4155,1,0
204,10.0,3829,1,0
200,7.0,5400,0,0
249,55.0,3375,1,0
186,10.0,5501,1,0
194,10.0,5995,0,0
232,10.0,5544,1,0
178,10.0,1367,0,0
211,1.0,4889,1,0
266,7.0,1440,0,0
123,10.0,4292,0,0
136,10.0,1367,0,0
160,10.0,5642,1,0
274,3.0,5156,0,0
203,10.0,5597,0,0
307,10.0,1983,0,0
140,4.0,1467,1,0
144,8.0,4970,0,0
273,10.0,5608,1,0
163,52.0,1891,1,0
164,10.0,4257,0,0
271,3.0,5204,0,1
212,28.0,2422,1,0
259,4.0,1991,1,0
262,10.0,1197,1,0
265,8.0,5447,1,0
266,10.0,1547,0,0
267,9.0,5940,0,0
149,10.0,5952,1,0
233,10.0,4705,1,0
243,9.0,1312,1,0
152,2.0,4136,0,0
149,10.0,5282,0,0
181,10.0,3266,1,0
159,10.0,5671,0,0
249,10.0,4190,0,0
230,3.0,2923,1,0
237,22.0,2912,1,0
154,10.0,4106,1,0
200,10.0,5837,0,0
257,10.0,1367,1,0
167,10.0,4325,0,0
174,10.0,5713,0,0
221,10.0,3120,1,0
275,10.0,2093,1,0
267,8.0,1367,0,0
243,10.0,1118,0,0
271,10.0,1353,0,0
203,8.0,4443,0,0
254,5.0,4104,1,0
132,56.0,1303,1,0
225,10.0,2270,1,0
249,2.0,4397,1,1
201,6.0,5128,0,0
174,49.0,1141,1,0
146,4.0,4348,1,0
266,10.0,5121,0,0
172,10.0,1446,1,0
207,10.0,3277,1,0
198,10.0,2820,1,0
143,10.0,1027,1,1
98,10.0,4651,1,0
112,9.0,5248,1,0
287,7.0,1141,1,0
243,10.0,4909,0,0
223,10.0,5042,1,1
148,10.0,5267,1,0
149,10.0,4904,0,0
220,10.0,5020,0,0
224,10.0,3145,1,1
256,3.0,1367,0,0
140,10.0,1367,1,0
200,45.0,1367,1,0
166,10.0,5089,1,1
220,10.0,4555,1,0
238,10.0,2196,1,0
192,10.0,2621,1,0
240,9.0,4908,0,0
216,10.0,1367,1,0
215,10.0,4700,0,0
269,10.0,1948,1,0
180,21.0,1047,1,1
185,27.0,3624,1,0
245,10.0,2577,1,0
121,10.0,1505,1,0
184,10.0,4674,1,0
210,10.0,1367,0,1
214,4.0,3754,1,0
239,1.0,1780,1,0
178,7.0,1367,0,0
