Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N,Warehouse_block_A,Warehouse_block_B,Warehouse_block_C,Warehouse_block_D,Warehouse_block_F,Mode_of_Shipment_Flight,Mode_of_Shipment_Road,Mode_of_Shipment_Ship,Product_importance_high,Product_importance_low,Product_importance_medium
2,2,135,3,10,1400,1,0,0,1,0,0,0,0,1,1,0,0
5,3,225,5,6,1100,0,0,0,0,0,1,1,0,0,1,0,0
3,1,229,3,10,5000,1,0,0,0,0,1,0,0,1,1,0,0
3,2,228,3,2,5700,0,0,0,0,0,1,0,0,1,0,0,1
4,1,195,6,10,5000,1,0,0,0,1,0,1,0,0,0,1,0
4,5,171,3,10,1700,1,0,1,0,0,0,0,0,1,1,0,0
6,3,282,4,9,1500,1,1,0,0,0,0,0,0,1,1,0,0
5,2,161,3,10,5900,1,0,0,0,0,1,1,0,0,1,0,0
5,1,274,4,3,6000,0,0,0,0,0,1,0,0,1,1,0,0
5,4,222,3,10,5600,0,0,0,1,0,0,0,0,1,1,0,0
5,4,264,10,34,3000,1,0,1,0,0,0,0,0,1,0,0,1
4,1,196,4,3,5500,0,0,0,0,0,1,0,0,1,1,0,0
4,2,232,4,10,2900,1,0,0,0,0,1,0,0,1,0,1,0
3,4,232,5,10,5700,1,0,0,1,0,0,0,1,0,0,0,1
5,3,194,3,10,4400,0,0,0,0,0,1,0,0,1,1,0,0
5,5,161,3,7,5400,1,0,1,0,0,0,0,0,1,0,1,0
5,1,207,4,10,4200,0,0,1,0,0,0,1,0,0,1,0,0
4,1,228,2,2,5500,0,0,1,0,0,0,0,0,1,1,0,0
5,2,146,3,7,4600,1,1,0,0,0,0,1,0,0,1,0,0
3,4,221,3,1,4600,1,0,0,1,0,0,1,0,0,1,0,0
5,5,134,2,53,1100,1,0,0,1,0,0,0,0,1,0,0,1
5,3,254,2,10,5600,0,0,0,1,0,0,1,0,0,1,0,0
3,5,160,4,10,4200,0,0,0,0,0,1,0,0,1,1,0,0
4,2,273,2,10,2300,1,0,0,1,0,0,0,0,1,1,0,0
4,3,142,2,10,5600,1,1,0,0,0,0,1,0,0,1,0,0
4,4,224,2,8,5800,1,1,0,0,0,0,0,0,1,1,0,0
3,3,253,5,63,3800,1,0,0,0,0,1,0,0,1,1,0,0
4,3,209,3,10,4200,1,0,0,0,0,1,0,1,0,0,0,1
4,5,196,3,10,3800,1,0,0,0,0,1,0,0,1,0,0,1
6,5,135,5,10,1100,1,0,0,0,0,1,0,0,1,1,0,0
5,4,196,2,6,2800,1,0,0,0,1,0,0,1,0,1,0,0
6,2,247,4,10,1600,0,0,0,0,0,1,0,0,1,1,0,0
4,2,239,5,6,1400,1,0,0,0,0,1,0,1,0,0,0,1
6,1,254,4,10,1100,0,0,0,0,1,0,0,0,1,1,0,0
3,5,195,4,4,4900,0,0,1,0,0,0,0,1,0,1,0,0
5,4,273,3,10,5700,1,0,0,0,1,0,0,0,1,0,0,1
6,2,215,5,10,4100,0,0,0,0,0,1,0,1,0,1,0,0
4,2,177,3,10,1300,1,0,0,0,1,0,1,0,0,1,0,0
3,3,189,3,10,5900,1,1,0,0,0,0,0,0,1,0,0,1
5,1,215,4,10,4000,1,1,0,0,0,0,0,0,1,1,0,0
5,2,160,4,43,1500,1,0,1,0,0,0,0,0,1,0,0,1
4,1,139,3,10,5700,0,0,0,1,0,0,1,0,0,0,0,1
4,2,184,3,63,3700,1,0,0,0,0,1,0,0,1,1,0,0
5,1,121,5,60,1600,1,0,0,1,0,0,1,0,0,1,0,0
5,4,133,3,9,1100,1,0,0,0,0,1,0,0,1,1,0,0
5,1,158,3,51,1600,1,0,0,0,1,0,1,0,0,0,0,1
6,2,286,4,4,1600,0,0,1,0,0,0,0,0,1,1,0,0
4,2,281,4,5,3000,1,0,0,0,1,0,0,0,1,0,1,0
7,2,261,4,9,2000,1,1,0,0,0,0,0,0,1,0,0,1
3,4,214,4,10,4800,0,0,0,0,0,1,0,0,1,1,0,0
3,5,158,3,10,4900,0,0,0,0,0,1,0,1,0,1,0,0
3,2,180,4,55,1200,1,0,0,1,0,0,0,0,1,0,0,1
4,3,169,2,2,1400,1,0,0,1,0,0,0,0,1,1,0,0
5,3,225,7,17,3600,1,0,0,0,1,0,0,0,1,0,0,1
6,4,280,4,10,1900,1,0,0,0,0,1,0,0,1,1,0,0
4,2,166,3,62,2000,1,1,0,0,0,0,0,0,1,1,0,0
5,5,172,3,1,5100,1,0,0,0,0,1,0,1,0,0,0,1
5,5,280,3,9,4100,1,0,1,0,0,0,0,0,1,1,0,0
5,4,212,2,10,5000,0,0,1,0,0,0,0,1,0,1,0,0
4,3,246,6,10,1200,0,1,0,0,0,0,0,1,0,1,0,0
6,1,246,3,7,4800,1,0,0,0,1,0,0,0,1,0,0,1
4,2,154,2,10,4800,1,1,0,0,0,0,0,0,1,0,0,1
3,2,203,3,10,2800,1,0,1,0,0,0,0,0,1,0,1,0
5,4,296,4,10,1800,1,0,1,0,0,0,0,0,1,1,0,0
4,3,185,3,10,3200,1,0,0,0,1,0,0,0,1,0,0,1
4,1,249,6,10,3000,1,0,0,0,1,0,0,0,1,0,0,1
