Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N,Warehouse_block_A,Warehouse_block_B,Warehouse_block_C,Warehouse_block_D,Warehouse_block_F,Mode_of_Shipment_Flight,Mode_of_Shipment_Road,Mode_of_Shipment_Ship,Product_importance_high,Product_importance_low,Product_importance_medium
2.0,2,135,3.0,10,1400,1,0,0,1,0,0,0,0,1,1,0,0
5.0,3,225,5.0,6,1100,0,0,0,0,0,1,1,0,0,1,0,0
3.0,1,229,3.0,10,5000,1,0,0,0,0,1,0,0,1,1,0,0
3.0,2,228,1.0,2,5700,0,0,0,0,0,1,0,0,1,0,0,1
0.0,1,195,6.0,10,5000,1,0,0,0,1,0,1,0,0,0,1,0
4.0,5,171,3.0,10,1700,1,0,1,0,0,0,0,0,1,1,0,0
6.0,3,282,4.0,9,1500,1,1,0,0,0,0,0,0,1,1,0,0
5.0,2,161,3.0,10,5900,1,0,0,0,0,1,1,0,0,1,0,0
0.0,1,274,4.0,3,6000,0,0,0,0,0,1,0,0,1,1,0,0
5.0,4,222,3.0,10,5600,0,0,0,1,0,0,0,0,1,1,0,0
5.0,4,264,10.0,34,3000,1,0,1,0,0,0,0,0,1,0,0,1
4.0,1,196,3.0,3,5500,0,0,0,0,0,1,0,0,1,1,0,0
4.0,2,232,3.0,10,2900,1,0,0,0,0,1,0,0,1,0,1,0
3.0,4,232,5.0,10,5700,1,0,0,1,0,0,0,1,0,0,0,1
0.0,3,194,3.0,10,4400,0,0,0,0,0,1,0,0,1,1,0,0
5.0,5,161,3.0,7,5400,1,0,1,0,0,0,0,0,1,0,1,0
5.0,1,207,3.0,10,4200,0,0,1,0,0,0,1,0,0,1,0,0
0.0,1,228,2.0,2,5500,0,0,1,0,0,0,0,0,1,1,0,0
5.0,2,146,3.0,7,4600,1,1,0,0,0,0,1,0,0,1,0,0
3.0,4,221,3.0,1,4600,1,0,0,1,0,0,1,0,0,1,0,0
5.0,5,134,2.0,53,1100,1,0,0,1,0,0,0,0,1,0,0,1
0.0,3,254,2.0,10,5600,0,0,0,1,0,0,1,0,0,1,0,0
3.0,5,160,3.0,10,4200,0,0,0,0,0,1,0,0,1,1,0,0
4.0,2,273,2.0,10,2300,1,0,0,1,0,0,0,0,1,1,0,0
4.0,3,142,2.0,10,5600,1,1,0,0,0,0,1,0,0,1,0,0
4.0,4,224,2.0,8,5800,1,1,0,0,0,0,0,0,1,1,0,0
3.0,3,253,5.0,63,3800,1,0,0,0,0,1,0,0,1,1,0,0
4.0,3,209,3.0,10,4200,1,0,0,0,0,1,0,1,0,0,0,1
0.0,5,196,3.0,10,3800,1,0,0,0,0,1,0,0,1,0,0,1
6.0,5,135,5.0,10,1100,1,0,0,0,0,1,0,0,1,1,0,0
0.0,4,196,2.0,6,2800,1,0,0,0,1,0,0,1,0,1,0,0
6.0,2,247,4.0,10,1600,0,0,0,0,0,1,0,0,1,1,0,0
0.0,2,239,5.0,6,1400,1,0,0,0,0,1,0,1,0,0,0,1
6.0,1,254,4.0,10,1100,0,0,0,0,1,0,0,0,1,1,0,0
3.0,5,195,3.0,4,4900,0,0,1,0,0,0,0,1,0,1,0,0
5.0,4,273,3.0,10,5700,1,0,0,0,1,0,0,0,1,0,0,1
6.0,2,215,5.0,10,4100,0,0,0,0,0,1,0,1,0,1,0,0
4.0,2,177,1.0,10,1300,1,0,0,0,1,0,1,0,0,1,0,0
3.0,3,189,3.0,10,5900,1,1,0,0,0,0,0,0,1,0,0,1
0.0,1,215,4.0,10,4000,1,1,0,0,0,0,0,0,1,1,0,0
5.0,2,160,4.0,43,1500,1,0,1,0,0,0,0,0,1,0,0,1
0.0,1,139,3.0,10,5700,0,0,0,1,0,0,1,0,0,0,0,1
0.0,2,184,1.0,63,3700,1,0,0,0,0,1,0,0,1,1,0,0
0.0,1,121,5.0,60,1600,1,0,0,1,0,0,1,0,0,1,0,0
5.0,4,133,3.0,9,1100,1,0,0,0,0,1,0,0,1,1,0,0
0.0,1,158,3.0,51,1600,1,0,0,0,1,0,1,0,0,0,0,1
6.0,2,286,4.0,4,1600,0,0,1,0,0,0,0,0,1,1,0,0
0.0,2,281,4.0,5,3000,1,0,0,0,1,0,0,0,1,0,1,0
7.0,2,261,4.0,9,2000,1,1,0,0,0,0,0,0,1,0,0,1
3.0,4,214,3.0,10,4800,0,0,0,0,0,1,0,0,1,1,0,0
3.0,5,158,3.0,10,4900,0,0,0,0,0,1,0,1,0,1,0,0
3.0,2,180,3.0,55,1200,1,0,0,1,0,0,0,0,1,0,0,1
4.0,3,169,2.0,2,1400,1,0,0,1,0,0,0,0,1,1,0,0
5.0,3,225,7.0,17,3600,1,0,0,0,1,0,0,0,1,0,0,1
6.0,4,280,4.0,10,1900,1,0,0,0,0,1,0,0,1,1,0,0
4.0,2,166,3.0,62,2000,1,1,0,0,0,0,0,0,1,1,0,0
0.0,5,172,3.0,1,5100,1,0,0,0,0,1,0,1,0,0,0,1
0.0,5,280,3.0,9,4100,1,0,1,0,0,0,0,0,1,1,0,0
5.0,4,212,2.0,10,5000,0,0,1,0,0,0,0,1,0,1,0,0
4.0,3,246,6.0,10,1200,0,1,0,0,0,0,0,1,0,1,0,0
6.0,1,246,3.0,7,4800,1,0,0,0,1,0,0,0,1,0,0,1
4.0,2,154,2.0,10,4800,1,1,0,0,0,0,0,0,1,0,0,1
3.0,2,203,3.0,10,2800,1,0,1,0,0,0,0,0,1,0,1,0
0.0,4,296,4.0,10,1800,1,0,1,0,0,0,0,0,1,1,0,0
4.0,3,185,3.0,10,3200,1,0,0,0,1,0,0,0,1,0,0,1
4.0,1,249,6.0,10,3000,1,0,0,0,1,0,0,0,1,0,0,1
5.0,4,269,1.0,15,2600,1,0,0,0,1,0,0,1,0,0,0,1
3.0,2,213,6.0,10,3000,1,1,0,0,0,0,0,0,1,0,0,1
0.0,3,263,4.0,23,3000,1,0,0,1,0,0,0,0,1,0,0,1
0.0,1,142,4.0,2,4800,1,1,0,0,0,0,0,1,0,0,0,1
0.0,2,134,3.0,38,1400,1,0,0,0,0,1,0,0,1,1,0,0
0.0,4,267,3.0,10,5300,0,0,0,1,0,0,0,0,1,0,0,1
3.0,2,164,2.0,10,4500,1,0,0,0,1,0,0,0,1,0,0,1
3.0,3,178,2.0,10,1800,1,0,0,0,0,1,0,0,1,0,0,1
3.0,1,166,3.0,9,4500,0,0,0,0,0,1,0,0,1,0,0,1
3.0,5,222,2.0,9,1400,0,0,0,0,0,1,0,0,1,1,0,0
3.0,1,268,3.0,10,2500,1,0,0,1,0,0,0,0,1,1,0,0
4.0,5,232,3.0,32,3300,1,0,0,0,0,1,1,0,0,0,0,1
6.0,5,278,4.0,10,1200,0,0,0,0,1,0,0,1,0,0,0,1
3.0,1,141,2.0,10,1300,1,0,0,0,0,1,0,0,1,1,0,0
5.0,5,140,8.0,10,4800,1,0,0,0,0,1,0,0,1,0,0,1
4.0,1,241,4.0,5,5100,0,1,0,0,0,0,0,0,1,0,0,1
0.0,1,105,6.0,62,3000,1,1,0,0,0,0,0,0,1,0,0,1
4.0,3,197,5.0,10,4300,1,0,0,0,0,1,1,0,0,1,0,0
4.0,1,160,3.0,1,5800,1,0,0,0,0,1,0,1,0,0,0,1
3.0,5,193,3.0,10,5900,0,0,1,0,0,0,0,0,1,0,0,1
0.0,4,231,3.0,39,3800,1,0,0,0,1,0,0,0,1,0,0,1
3.0,4,195,3.0,10,4100,0,0,0,0,0,1,0,0,1,0,0,1
5.0,1,237,4.0,10,2700,1,0,0,0,0,1,0,0,1,1,0,0
7.0,2,305,4.0,7,1900,0,0,0,0,0,1,0,0,1,0,0,1
0.0,2,189,6.0,10,3000,0,0,0,1,0,0,0,0,1,1,0,0
5.0,3,210,6.0,10,4300,1,0,0,1,0,0,0,0,1,1,0,0
4.0,4,140,8.0,2,5500,0,0,0,1,0,0,0,0,1,0,0,1
4.0,5,221,10.0,10,4700,0,0,0,1,0,0,0,0,1,0,1,0
6.0,4,138,3.0,10,4300,0,0,0,0,1,0,0,0,1,0,0,1
2.0,3,226,3.0,8,5200,1,0,1,0,0,0,0,0,1,0,0,1
6.0,1,253,3.0,10,2000,0,0,0,0,0,1,0,1,0,1,0,0
0.0,3,151,3.0,10,4100,1,0,1,0,0,0,0,0,1,0,0,1
7.0,4,309,4.0,10,1900,0,0,0,0,1,0,0,0,1,1,0,0
4.0,4,255,2.0,29,2300,1,0,0,0,0,1,0,0,1,0,0,1
3.0,5,152,4.0,10,4900,0,0,0,0,0,1,0,0,1,0,0,1
3.0,4,186,2.0,9,5900,0,0,0,0,0,1,0,0,1,0,0,1
3.0,5,224,2.0,10,3900,1,0,0,0,0,1,0,0,1,1,0,0
0.0,5,136,2.0,4,5600,0,0,0,1,0,0,0,0,1,0,0,1
3.0,1,224,3.0,45,3700,1,0,0,0,1,0,0,1,0,1,0,0
3.0,1,244,3.0,1,5700,1,0,1,0,0,0,0,0,1,0,0,1
5.0,1,252,3.0,2,4400,0,0,0,0,0,1,0,0,1,0,0,1
5.0,2,222,3.0,10,5700,1,0,0,1,0,0,0,1,0,0,0,1
3.0,2,111,2.0,4,4300,1,0,0,0,1,0,0,0,1,1,0,0
5.0,1,189,3.0,14,3000,1,0,0,0,1,0,1,0,0,0,0,1
5.0,2,248,8.0,10,4600,0,1,0,0,0,0,0,0,1,1,0,0
3.0,2,214,4.0,10,1400,1,0,0,1,0,0,0,0,1,0,0,1
3.0,4,202,5.0,10,4700,0,0,0,0,1,0,0,1,0,0,1,0
6.0,3,241,6.0,8,3900,1,1,0,0,0,0,0,1,0,0,1,0
0.0,1,152,3.0,10,1500,1,0,0,0,0,1,0,0,1,0,1,0
5.0,4,231,6.0,3,1100,0,0,1,0,0,0,0,0,1,0,0,1
4.0,5,174,2.0,10,5800,0,0,0,0,0,1,0,0,1,1,0,0
5.0,2,146,3.0,10,4800,0,1,0,0,0,0,0,0,1,1,0,0
5.0,3,222,6.0,10,1700,0,0,0,0,1,0,0,1,0,1,0,0
5.0,5,272,2.0,4,5400,0,0,0,0,0,1,0,1,0,1,0,0
3.0,2,182,2.0,10,4400,1,0,0,0,1,0,0,0,1,1,0,0
0.0,4,181,3.0,10,5300,1,0,0,0,0,1,1,0,0,1,0,0
2.0,2,173,3.0,10,1600,1,0,0,1,0,0,0,0,1,0,0,1
0.0,5,242,2.0,10,4900,1,0,0,0,0,1,0,0,1,0,0,1
0.0,2,294,4.0,10,1300,1,1,0,0,0,0,0,0,1,1,0,0
0.0,5,139,4.0,10,1300,1,0,0,0,0,1,0,0,1,0,0,1
3.0,3,198,2.0,10,5000,1,0,0,0,0,1,0,0,1,1,0,0
0.0,2,203,3.0,10,5300,1,0,0,0,0,1,1,0,0,1,0,0
4.0,1,269,3.0,7,5300,1,0,0,1,0,0,0,0,1,1,0,0
6.0,2,269,4.0,3,1700,0,1,0,0,0,0,0,0,1,0,0,1
5.0,1,232,3.0,10,1100,1,0,1,0,0,0,0,0,1,1,0,0
5.0,1,255,4.0,9,3000,1,0,0,0,1,0,1,0,0,0,0,1
0.0,1,161,2.0,10,3000,1,0,0,1,0,0,1,0,0,0,1,0
0.0,5,141,2.0,1,4400,1,0,0,1,0,0,0,0,1,1,0,0
3.0,3,208,5.0,10,4300,0,0,0,0,1,0,0,0,1,1,0,0
7.0,1,301,4.0,6,1100,1,0,0,0,0,1,0,0,1,1,0,0
0.0,3,197,2.0,10,3400,1,0,0,0,1,0,0,0,1,1,0,0
0.0,3,178,3.0,10,4500,1,1,0,0,0,0,0,0,1,0,0,1
5.0,3,270,5.0,9,1800,1,0,1,0,0,0,0,1,0,0,0,1
5.0,2,130,4.0,1,1900,0,0,0,0,0,1,1,0,0,0,0,1
3.0,5,286,6.0,8,4800,0,0,0,0,1,0,0,0,1,0,1,0
0.0,3,269,2.0,10,4200,0,0,0,0,1,0,0,0,1,0,0,1
3.0,4,254,3.0,6,5800,0,1,0,0,0,0,0,0,1,0,0,1
0.0,4,259,2.0,10,2200,1,0,0,1,0,0,0,0,1,0,0,1
4.0,5,160,3.0,10,3000,1,0,0,0,0,1,0,0,1,0,0,1
5.0,2,236,3.0,10,3700,1,0,0,0,1,0,0,1,0,1,0,0
3.0,3,250,5.0,10,3000,1,0,0,1,0,0,0,0,1,0,0,1
2.0,4,226,3.0,10,4100,1,0,0,0,0,1,0,0,1,1,0,0
3.0,2,197,4.0,1,5300,1,0,0,0,0,1,0,0,1,0,0,1
5.0,2,223,1.0,10,1300,1,0,1,0,0,0,0,0,1,0,0,1
3.0,4,242,10.0,5,4200,0,1,0,0,0,0,0,0,1,0,1,0
0.0,4,189,3.0,10,5500,0,0,0,0,0,1,0,0,1,0,1,0
3.0,3,183,3.0,10,3000,0,0,0,0,0,1,0,0,1,1,0,0
3.0,1,185,3.0,10,4400,0,0,0,1,0,0,1,0,0,0,0,1
0.0,5,169,4.0,10,4300,0,0,0,0,1,0,0,0,1,1,0,0
3.0,2,208,4.0,52,2900,1,0,0,1,0,0,0,0,1,0,0,1
0.0,5,148,8.0,10,5700,0,1,0,0,0,0,0,1,0,0,0,1
4.0,1,161,2.0,41,2000,1,0,0,0,1,0,0,0,1,0,1,0
4.0,2,236,3.0,4,3000,0,0,0,0,0,1,0,0,1,1,0,0
4.0,1,158,3.0,32,1100,1,0,1,0,0,0,0,1,0,1,0,0
3.0,5,243,3.0,4,3200,1,0,1,0,0,0,0,0,1,0,0,1
4.0,3,262,4.0,2,4800,1,0,0,1,0,0,1,0,0,0,1,0
3.0,2,201,4.0,10,5600,0,0,0,0,1,0,0,0,1,0,0,1
4.0,1,207,2.0,10,3300,1,0,0,0,0,1,0,1,0,1,0,0
2.0,1,222,2.0,58,3700,1,0,0,0,0,1,0,0,1,0,0,1
2.0,5,148,3.0,11,1600,1,0,0,0,0,1,0,0,1,0,1,0
0.0,2,268,3.0,1,5000,0,0,0,1,0,0,0,1,0,0,0,1
4.0,4,229,2.0,45,3800,1,0,1,0,0,0,1,0,0,0,0,1
4.0,2,199,3.0,23,3000,1,0,1,0,0,0,1,0,0,1,0,0
4.0,4,164,4.0,1,4400,1,0,0,0,0,1,0,1,0,0,0,1
5.0,5,226,3.0,50,2400,1,0,0,0,0,1,0,0,1,1,0,0
0.0,2,156,3.0,1,5400,0,0,0,1,0,0,0,0,1,1,0,0
