Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N
C,Ship,2.0,2,135,3.0,low,,1339,1
F,Flight,5.0,3,225,5.0,low,6.0,1082,0
F,Ship,3.0,1,229,3.0,low,,4971,1
F,Ship,3.0,2,228,,medium,2.0,5640,0
D,Flight,,1,195,6.0,high,,4944,1
B,Ship,4.0,5,171,3.0,low,,1683,1
A,Ship,6.0,3,282,4.0,low,9.0,1417,1
F,Flight,5.0,2,161,3.0,low,,5804,1
F,Ship,,1,274,4.0,low,3.0,5979,0
C,Ship,5.0,4,222,3.0,low,,5555,0
B,Ship,5.0,4,264,10.0,medium,34.0,2960,1
F,Ship,4.0,1,196,,low,3.0,5496,0
F,Ship,4.0,2,232,,high,,2835,1
C,Road,3.0,4,232,5.0,medium,,5653,1
F,Ship,,3,194,3.0,low,,4331,0
B,?,5.0,5,161,3.0,high,7.0,5338,1
B,Flight,5.0,1,207,,low,,4112,0
B,Ship,,1,228,2.0,low,2.0,5435,0
A,Flight,5.0,2,146,3.0,low,7.0,4524,1
C,Flight,3.0,4,221,3.0,low,1.0,4518,1
C,Ship,5.0,5,134,2.0,medium,53.0,1088,1
C,Flight,,3,254,2.0,low,,5546,0
F,Ship,3.0,5,160,,low,,4106,0
C,?,4.0,2,273,2.0,low,,2229,1
A,Flight,4.0,3,142,2.0,low,,5502,1
A,Ship,4.0,4,224,2.0,low,8.0,5754,1
F,Ship,3.0,3,253,5.0,low,63.0,3788,1
F,Road,4.0,3,209,3.0,medium,,4104,1
F,Ship,,5,196,3.0,medium,,3722,1
F,Ship,6.0,5,135,5.0,low,,1078,1
D,Road,,4,196,2.0,low,6.0,2718,1
F,Ship,6.0,2,247,4.0,low,,1556,0
F,Road,,2,239,5.0,?,6.0,1310,1
D,Ship,6.0,1,254,4.0,low,,1071,0
B,Road,3.0,5,195,,low,4.0,4864,0
D,Ship,5.0,4,273,3.0,medium,,5672,1
F,Road,6.0,2,215,5.0,low,,4057,0
D,Flight,4.0,2,177,,low,,1233,1
A,Ship,3.0,3,189,3.0,medium,,5896,1
A,Ship,,1,215,4.0,low,,3905,1
B,Ship,5.0,2,160,4.0,medium,43.0,1479,1
C,Flight,,1,139,3.0,?,,5632,0
F,Ship,,2,184,,low,63.0,3609,1
C,Flight,,1,121,5.0,low,60.0,1577,1
F,Ship,5.0,4,133,3.0,low,9.0,1051,1
D,Flight,,1,158,3.0,medium,51.0,1540,1
B,Ship,6.0,2,286,4.0,low,4.0,1594,0
D,Ship,,2,281,4.0,high,5.0,?,1
A,Ship,7.0,2,261,4.0,medium,9.0,1918,1
F,Ship,3.0,4,214,,low,10.0,4794,0
F,Road,3.0,5,158,3.0,low,10.0,4861,0
C,Ship,3.0,2,180,,medium,55.0,1165,1
C,Ship,4.0,3,169,2.0,low,2.0,1399,1
D,Ship,5.0,3,225,7.0,medium,17.0,3516,1
F,Ship,6.0,4,280,4.0,low,,1831,1
A,Ship,4.0,2,166,3.0,low,62.0,1944,1
F,Road,,5,172,3.0,medium,1.0,5024,1
B,Ship,,5,280,3.0,low,9.0,4074,1
B,Road,5.0,4,212,2.0,low,,4925,0
A,Road,4.0,3,246,6.0,low,10.0,1176,0
D,?,6.0,1,246,3.0,medium,7.0,4733,1
A,Ship,4.0,2,154,2.0,medium,,4705,1
B,Ship,3.0,2,203,3.0,high,,2791,1
B,Ship,,4,296,4.0,low,,1717,1
D,Ship,4.0,3,185,3.0,medium,,3131,1
D,Ship,4.0,1,249,6.0,medium,,?,1
D,Road,5.0,4,269,,medium,15.0,2522,1
A,?,3.0,2,213,6.0,medium,,?,1
C,Ship,,3,263,4.0,medium,23.0,2960,1
A,Road,,1,142,4.0,medium,2.0,4735,1
F,Ship,,2,134,3.0,low,38.0,1352,1
C,Ship,,4,267,3.0,?,,5254,0
D,Ship,3.0,2,164,2.0,medium,,4442,1
F,Ship,3.0,3,178,2.0,medium,,1778,1
F,Ship,3.0,1,166,3.0,medium,9.0,4410,0
F,Ship,3.0,5,222,2.0,low,9.0,1321,0
C,Ship,3.0,1,268,3.0,low,,2479,1
F,Flight,4.0,5,232,3.0,?,32.0,3253,1
D,Road,6.0,5,278,4.0,medium,,1140,0
F,Ship,3.0,1,141,2.0,low,,1297,1
F,Ship,5.0,5,140,8.0,medium,,4793,1
A,?,4.0,1,241,4.0,medium,5.0,5080,0
A,Ship,,1,105,6.0,medium,62.0,?,1
F,Flight,4.0,3,197,5.0,low,,4209,1
F,Road,4.0,1,160,,medium,1.0,5741,1
B,Ship,3.0,5,193,3.0,medium,,5817,0
D,Ship,,4,231,3.0,medium,39.0,3792,1
F,Ship,3.0,4,195,,medium,,4031,0
F,Ship,5.0,1,237,4.0,low,,2605,1
F,Ship,7.0,2,305,4.0,medium,7.0,1813,0
C,Ship,,2,189,6.0,low,,?,0
C,Ship,5.0,3,210,6.0,low,,4203,1
C,Ship,4.0,4,140,8.0,medium,2.0,5481,0
C,Ship,4.0,5,221,10.0,high,,4646,0
D,Ship,6.0,4,138,3.0,medium,,4225,0
B,Ship,2.0,3,226,3.0,medium,8.0,5106,1
F,Road,6.0,1,253,,low,,1962,0
B,?,,3,151,3.0,medium,,4025,1
D,Ship,7.0,4,309,4.0,low,,1880,0
F,Ship,4.0,4,255,2.0,medium,29.0,2267,1
F,Ship,3.0,5,152,4.0,medium,,4809,0
F,Ship,3.0,4,186,2.0,medium,9.0,5841,0
F,Ship,3.0,5,224,2.0,low,,3891,1
C,Ship,,5,136,2.0,medium,4.0,5512,0
D,Road,3.0,1,224,,low,45.0,3624,1
B,?,3.0,1,244,3.0,medium,1.0,5695,1
F,Ship,5.0,1,252,3.0,medium,2.0,4339,0
C,Road,5.0,2,222,3.0,medium,10.0,5644,1
D,?,3.0,2,111,2.0,low,4.0,4245,1
D,Flight,5.0,1,189,3.0,medium,14.0,?,1
A,Ship,5.0,2,248,8.0,low,10.0,4583,0
C,Ship,3.0,2,214,4.0,medium,,1322,1
D,Road,3.0,4,202,5.0,high,,4632,0
A,Road,6.0,3,241,6.0,high,8.0,3878,1
F,Ship,,1,152,3.0,high,,1464,1
B,Ship,5.0,4,231,6.0,medium,3.0,1075,0
F,Ship,4.0,5,174,2.0,low,10.0,5764,0
A,Ship,5.0,2,146,3.0,low,,4725,0
D,Road,5.0,3,222,6.0,low,,1656,0
F,Road,5.0,5,272,2.0,low,4.0,5342,0
D,Ship,3.0,2,182,2.0,low,,4391,1
F,Flight,,4,181,3.0,low,10.0,5276,1
C,Ship,2.0,2,173,,medium,,1575,1
F,Ship,,5,242,2.0,medium,,4806,1
A,Ship,,2,294,4.0,low,,1265,1
F,Ship,,5,139,4.0,medium,,1265,1
F,Ship,3.0,3,198,2.0,low,,4996,1
F,Flight,,2,203,,low,,5296,1
C,Ship,4.0,1,269,3.0,low,7.0,5211,1
A,Ship,6.0,2,269,4.0,medium,3.0,1665,0
B,Ship,5.0,1,232,3.0,low,10.0,1014,1
D,Flight,5.0,1,255,4.0,medium,9.0,?,1
C,Flight,,1,161,2.0,high,,?,1
C,Ship,,5,141,2.0,low,1.0,4395,1
D,Ship,3.0,3,208,5.0,low,,4258,0
F,Ship,7.0,1,301,4.0,low,6.0,1052,1
D,Ship,,3,197,2.0,low,,3400,1
A,Ship,,3,178,3.0,medium,,4451,1
B,Road,5.0,3,270,5.0,medium,9.0,1764,1
F,Flight,5.0,2,130,4.0,medium,1.0,1877,0
D,?,3.0,5,286,6.0,high,8.0,4777,0
D,Ship,,3,269,2.0,medium,,4158,0
A,Ship,3.0,4,254,3.0,medium,6.0,5716,0
C,Ship,,4,259,2.0,medium,,2132,1
F,Ship,4.0,5,160,3.0,medium,,?,1
D,Road,5.0,2,236,,low,,3679,1
C,Ship,3.0,3,250,5.0,medium,,?,1
F,Ship,2.0,4,226,3.0,low,,4098,1
F,Ship,3.0,2,197,4.0,medium,1.0,5210,1
B,Ship,5.0,2,223,,?,,1232,1
A,Ship,3.0,4,242,10.0,high,5.0,4127,0
F,Ship,,4,189,3.0,high,,5464,0
F,Ship,3.0,3,183,3.0,low,,?,0
C,Flight,3.0,1,185,,medium,,4316,0
D,Ship,,5,169,4.0,low,,4213,0
C,?,3.0,2,208,4.0,medium,52.0,2900,1
A,Road,,5,148,8.0,medium,,5700,0
D,Ship,4.0,1,161,2.0,high,41.0,1992,1
F,Ship,4.0,2,236,3.0,low,4.0,?,0
B,Road,4.0,1,158,3.0,low,32.0,1061,1
B,Ship,3.0,5,243,3.0,medium,4.0,3189,1
C,Flight,4.0,3,262,4.0,high,2.0,4783,1
D,?,3.0,2,201,4.0,medium,10.0,5565,0
F,Road,4.0,1,207,2.0,low,,3242,1
F,Ship,2.0,1,222,2.0,medium,58.0,3626,1
F,Ship,2.0,5,148,3.0,high,11.0,1502,1
C,Road,,2,268,3.0,medium,1.0,4927,0
B,Flight,4.0,4,229,2.0,medium,45.0,3776,1
B,Flight,4.0,2,199,3.0,low,23.0,2994,1
F,Road,4.0,4,164,4.0,medium,1.0,4365,1
F,Ship,5.0,5,226,3.0,low,50.0,2348,1
C,Ship,,2,156,3.0,low,1.0,5361,0
C,Ship,5.0,5,254,5.0,low,2.0,4426,0
