,타이틀,시가
0,삼성전자,"73,200"
1,LG에너지솔루션,"541,000"
2,SK하이닉스,"119,000"
3,삼성바이오로직스,"745,000"
4,삼성전자우,"60,300"
5,삼성SDI,"717,000"
6,LG화학,"679,000"
7,현대차,"207,000"
8,POSCO홀딩스,"446,500"
9,기아,"88,400"
10,NAVER,"203,500"
11,포스코퓨처엠,"396,500"
12,셀트리온,"159,200"
13,카카오,"52,400"
14,현대모비스,"245,000"
15,LG전자,"125,400"
16,KB금융,"48,800"
17,삼성물산,"104,100"
18,신한지주,"34,250"
19,SK이노베이션,"164,400"
20,삼성생명,"70,800"
21,LG,"87,800"
22,한국전력,"20,700"
23,HD현대중공업,"146,000"
24,카카오뱅크,"25,850"
25,두산에너빌리티,"18,160"
26,하나금융지주,"39,300"
27,삼성화재,"244,500"
28,KT&G,"82,800"
29,삼성전기,"150,700"
30,SK,"149,200"
31,하이브,"258,500"
32,한화오션,"47,350"
33,SK텔레콤,"46,250"
34,대한항공,"26,150"
35,메리츠금융지주,"45,800"
36,HMM,"19,270"
37,크래프톤,"193,300"
38,삼성에스디에스,"120,800"
39,고려아연,"469,500"
40,HD한국조선해양,"128,500"
41,우리금융지주,"11,810"
42,포스코인터내셔널,"48,250"
43,기업은행,"10,350"
44,KT,"29,850"
45,한화솔루션,"44,450"
46,S-Oil,"67,700"
47,현대글로비스,"198,400"
48,LG생활건강,"464,500"
49,삼성중공업,"8,230"
